File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_006__250m_16_days_NDVI_doy2015353_aid0001,_250m_16_days_NDVI,aid0001,2015-12-19,947.0,-0.0889,0.1122,"(-0.0889,0.1122)",0.0018,0.0277,0.0008,0.0174,0.0592,0.0003,-0.0521,-0.0116
MOD13Q1_006__250m_16_days_NDVI_doy2016001_aid0001,_250m_16_days_NDVI,aid0001,2016-01-01,920.0,-0.0402,0.1164,"(-0.0402,0.1164)",0.0018,0.0248,0.0006,0.0159,0.0606,-0.0053,-0.0402,-0.016
MOD13Q1_006__250m_16_days_NDVI_doy2016017_aid0001,_250m_16_days_NDVI,aid0001,2016-01-17,905.0,-0.0421,0.1556,"(-0.0421,0.1556)",0.0083,0.0312,0.001,0.0248,0.0831,-0.0004,-0.0421,-0.0145
MOD13Q1_006__250m_16_days_NDVI_doy2016033_aid0001,_250m_16_days_NDVI,aid0001,2016-02-02,949.0,-0.0513,0.1676,"(-0.0513,0.1676)",-0.0139,0.0275,0.0008,-0.0017,0.0404,-0.023,-0.0513,-0.0328
MOD13Q1_006__250m_16_days_NDVI_doy2016049_aid0001,_250m_16_days_NDVI,aid0001,2016-02-18,952.0,-0.0207,0.1354,"(-0.0207,0.1354)",0.0184,0.0283,0.0008,0.0325,0.0806,0.0124,-0.0207,-0.0018
MOD13Q1_006__250m_16_days_NDVI_doy2016065_aid0001,_250m_16_days_NDVI,aid0001,2016-03-05,952.0,-0.0368,0.1431,"(-0.0368,0.1431)",0.0229,0.0278,0.0008,0.0359,0.0854,0.0179,-0.0368,0.0028
MOD13Q1_006__250m_16_days_NDVI_doy2016081_aid0001,_250m_16_days_NDVI,aid0001,2016-03-21,952.0,-0.042,0.178,"(-0.042,0.178)",0.0245,0.0304,0.0009,0.04,0.0935,0.0171,-0.042,0.0039
MOD13Q1_006__250m_16_days_NDVI_doy2016097_aid0001,_250m_16_days_NDVI,aid0001,2016-04-06,952.0,-0.0629,0.5218,"(-0.0629,0.5218)",0.2764,0.0911,0.0083,0.326,0.4497,0.2842,0.1259,0.2435
MOD13Q1_006__250m_16_days_NDVI_doy2016113_aid0001,_250m_16_days_NDVI,aid0001,2016-04-22,952.0,0.0895,0.5555,"(0.0895,0.5555)",0.3358,0.0549,0.003,0.3653,0.4496,0.33,0.2267,0.3068
MOD13Q1_006__250m_16_days_NDVI_doy2016129_aid0001,_250m_16_days_NDVI,aid0001,2016-05-08,952.0,0.1946,0.5434,"(0.1946,0.5434)",0.3882,0.0439,0.0019,0.4137,0.4955,0.3855,0.2841,0.3586
MOD13Q1_006__250m_16_days_NDVI_doy2016145_aid0001,_250m_16_days_NDVI,aid0001,2016-05-24,952.0,0.3245,0.6784,"(0.3245,0.6784)",0.5232,0.0656,0.0043,0.5657,0.6784,0.5284,0.3778,0.4762
MOD13Q1_006__250m_16_days_NDVI_doy2016161_aid0001,_250m_16_days_NDVI,aid0001,2016-06-09,952.0,0.3392,0.7477,"(0.3392,0.7477)",0.5518,0.0839,0.007,0.6158,0.7477,0.5549,0.3392,0.4955
MOD13Q1_006__250m_16_days_NDVI_doy2016177_aid0001,_250m_16_days_NDVI,aid0001,2016-06-25,952.0,0.3012,0.7453,"(0.3012,0.7453)",0.535,0.0975,0.0095,0.6108,0.7453,0.5419,0.3012,0.4566
MOD13Q1_006__250m_16_days_NDVI_doy2016193_aid0001,_250m_16_days_NDVI,aid0001,2016-07-11,952.0,0.3132,0.7417,"(0.3132,0.7417)",0.5078,0.0942,0.0089,0.582,0.7417,0.5114,0.3132,0.435
MOD13Q1_006__250m_16_days_NDVI_doy2016209_aid0001,_250m_16_days_NDVI,aid0001,2016-07-27,952.0,0.2701,0.6882,"(0.2701,0.6882)",0.4605,0.0915,0.0084,0.5286,0.6882,0.4582,0.2701,0.3848
MOD13Q1_006__250m_16_days_NDVI_doy2016225_aid0001,_250m_16_days_NDVI,aid0001,2016-08-12,952.0,0.2688,0.645,"(0.2688,0.645)",0.4096,0.073,0.0053,0.4624,0.6192,0.406,0.2688,0.3527
MOD13Q1_006__250m_16_days_NDVI_doy2016241_aid0001,_250m_16_days_NDVI,aid0001,2016-08-28,952.0,0.2447,0.5754,"(0.2447,0.5754)",0.365,0.0622,0.0039,0.4008,0.5223,0.3578,0.2447,0.3185
MOD13Q1_006__250m_16_days_NDVI_doy2016257_aid0001,_250m_16_days_NDVI,aid0001,2016-09-13,952.0,0.2338,0.5369,"(0.2338,0.5369)",0.3451,0.0517,0.0027,0.3772,0.4858,0.3405,0.2338,0.3042
MOD13Q1_006__250m_16_days_NDVI_doy2016273_aid0001,_250m_16_days_NDVI,aid0001,2016-09-29,952.0,0.2544,0.6103,"(0.2544,0.6103)",0.3494,0.0517,0.0027,0.3745,0.4651,0.3402,0.2544,0.3136
MOD13Q1_006__250m_16_days_NDVI_doy2016289_aid0001,_250m_16_days_NDVI,aid0001,2016-10-15,952.0,0.2485,0.5527,"(0.2485,0.5527)",0.3456,0.0481,0.0023,0.364,0.4403,0.3337,0.2485,0.3128
